"","Source.title","X2016.CiteScore","X2016.SJR","X2016.SNIP","Journal.Open.Access","bin"
"409","Acta Horticulturae",0.18,0.18,0.206,"Closed","A"
"1162","Advances in Atmospheric Sciences",1.63,0.926,0.714,"Closed","A"
"1624","Advances in Meteorology",1.21,0.465,0.595,"DOAJ/ROAD Open Access","A"
"2422","Agricultural and Forest Meteorology",4.62,1.976,1.889,"Closed","C"
"2994","Agricultural Systems",2.9,0.965,1.37,"Closed","B"
"3155","Agricultural Water Management",3.31,1.264,1.803,"Closed","B"
"3369","Agriculture, Ecosystems and Environment",4.41,1.612,1.828,"Closed","C"
"3887","Agronomy for Sustainable Development",4.78,1.492,2.3,"Closed","C"
"4283","Ambio",3.19,1.221,1.194,"Closed","B"
"4647","American Journal of Botany",3.14,1.647,1.431,"Closed","C"
"5813","Annals of Botany",4.22,1.894,1.627,"Closed","C"
"5984","Annals of Forest Science",2,0.765,0.943,"Closed","A"
"7160","Applied Energy",7.78,3.058,2.573,"Closed","D"
"7571","Applied Geography",3.1,1.238,1.592,"Closed","B"
"8391","Arabian Journal of Geosciences",1,0.371,0.723,"Closed","A"
"8732","Arctic",0.99,0.484,0.636,"Closed","A"
"8858","Arctic, Antarctic, and Alpine Research",1.7,0.791,0.667,"Closed","A"
"9840","Atmospheric Chemistry and Physics",5.72,3.264,1.756,"DOAJ/ROAD Open Access","D"
"10649","Atmospheric Environment",4.01,1.466,1.593,"Closed","C"
"11318","Atmospheric Research",3.93,1.568,1.657,"Closed","C"
"11680","Austral Ecology",1.85,0.897,0.877,"Closed","A"
"12963","Biodiversity and Conservation",2.5,1.169,1.122,"Closed","B"
"13262","Biogeochemistry",3.61,1.614,1.3,"Closed","C"
"13455","Biogeosciences",4.25,2.328,1.305,"DOAJ/ROAD Open Access","D"
"14131","Biological Conservation",4.22,2.322,1.684,"Closed","D"
"14487","Biological Invasions",2.71,1.294,1.193,"Closed","B"
"14604","Biological Journal of the Linnean Society",2.16,1.112,0.984,"Closed","B"
"14901","Biology Letters",2.69,1.653,1.03,"Closed","C"
"15069","Biomass and Bioenergy",3.71,1.188,1.368,"Closed","B"
"15278","BioScience",2.9,2.039,1.814,"Closed","C"
"15672","BMC Evolutionary Biology",3.12,1.806,1.266,"DOAJ/ROAD Open Access","C"
"16180","Boreas",2.45,1.042,1.09,"Closed","B"
"16668","Building and Environment",4.51,2.015,2.198,"Closed","C"
