"","journal","ISSN"
"1","Agricultural and Forest Meteorology","1681923"
"2","Agriculture, Ecosystems and Environment","1678809"
"3","Atmospheric Chemistry and Physics","16807324"
"4","Atmospheric Environment","13522310"
"5","Biogeosciences","17264189"
"6","Biological Conservation","63207"
"7","Climate Dynamics","14320894"
"8","Climate of the Past","18149332"
"9","Climate Policy","14693062"
"10","Climate Research","16161572"
"11","Climatic Change","15731480"
"12","Earth and Planetary Science Letters","1385013X"
"13","Ecological Modelling","3043800"
"14","Ecology","129658"
"15","Ecology and Evolution","20457758"
"16","Energy Policy","3014215"
"17","Environmental Earth Sciences","18666280"
"18","Environmental Monitoring and Assessment","15732959"
"19","Environmental Research Letters","17489326"
"20","Environmental Science and Policy","14629011"
"21","Forest Ecology and Management","3781127"
"22","Geology","917613"
"23","Geomorphology","0169555X"
"24","Geophysical Research Letters","948276"
"25","Global and Planetary Change","9218181"
"26","Global Change Biology","13652486"
"27","Global Ecology and Biogeography","1466822X"
"28","Global Environmental Change","9593780"
"29","Holocene","14770911"
"30","Hydrobiologia","3240924"
"31","Hydrological Processes","10991085"
"32","Hydrology and Earth System Sciences","10275606"
"33","International Journal of Climatology","10970088"
"34","Journal of Biogeography","13652699"
"35","Journal of Cleaner Production","9596526"
"36","Journal of Climate","15200442"
"37","Journal of Environmental Management","10958630"
"38","Journal of Geophysical Research","1480227"
"39","Journal of Hydrology","221694"
"40","Journal of Paleolimnology","15730417"
"41","Mitigation and Adaptation Strategies for Global Change","15731596"
"42","Molecular Ecology","1365294X"
"43","Natural Hazards","15730840"
"44","Nature","14764687"
"45","Nature Climate Change","17586798"
"46","Nature Geoscience","17520908"
"47","New Phytologist","14698137"
"48","Oecologia","14321939"
"49","Palaeogeography, Palaeoclimatology, Palaeoecology","310182"
"50","Paleoceanography","8838305"
"51","PLoS ONE","19326203"
"52","Proceedings of the National Academy of Sciences of the United States of America","10916490"
"53","Proceedings of the Royal Society B: Biological Sciences","14712954"
"54","Quaternary International","10406182"
"55","Quaternary Science Reviews","2773791"
"56","Regional Environmental Change","14363798"
"57","Remote Sensing","20724292"
"58","Remote Sensing of Environment","344257"
"59","Renewable and Sustainable Energy Reviews","13640321"
"60","Science","368075"
"61","Science of the Total Environment","489697"
"62","Scientific Reports","20452322"
"63","Soil Biology and Biochemistry","380717"
"64","Water Resources Management","15731650"
"65","Water Resources Research","431397"
